"","Var1","Freq"
"1","albomycin delta2",6
"2","alkylresorcinol",2
"3","avermitilol",1
"4","bacillibactin",1472
"5","bacillibactin/bacillibactin E/bacillibactin F",227
"6","bafilomycin B1",1
"7","borrelidin",4
"8","caboxamycin",1
"9","cacaoidin",1
"10","coelibactin",59
"11","coelichelin",348
"12","dehydroxynocardamine",5
"13","desferrioxamin B",430
"14","desferrioxamin B/desferrioxamine E",435
"15","desferrioxamine",5
"16","desferrioxamine E",86
"17","divergolide A/divergolide B/divergolide C/divergolide D",3
"18","EDHA",1
"19","ficellomycin",1
"20","fredericamycin A",3
"21","fuscachelin A/fuscachelin B/fuscachelin C",8
"22","galtamycin C/galtamycin D",3
"23","griseobactin",105
"24","heronamide C/heronamide A/heronamide B",1
"25","heterobactin A/heterobactin S2",9
"26","heterobactin B/heterobactin S2",29
"27","himastatin",2
"28","hopene",6
"29","huanglongmycin A/huanglongmycin B/huanglongmycin C",1
"30","informatipeptin",2
"31","inthomycin B",2
"32","isorenieratene",1
"33","kinamycin",6
"34","komodoquinone B",2
"35","largimiycin 38/largimycin 39",1
"36","legonoxamine A/desferrioxamine B/legonoxamine B",31
"37","leupeptin Pr/leupeptin Ac",3
"38","linearmycin A/linearmycin B/linearmycin C/linearmycin C",1
"39","liposidomycin B/liposidomycin A/liposidomycin C/liposidomycin Z/liposidomycin H/liposidomycin G/liposidomycin L/liposidomycin M/liposidomycin K/liposidomycin N",2
"40","lugdunin",22
"41","lydicamycin",8
"42","natamycin",1
"43","neocarzilin A/neocarzilin B",1
"44","olimycin A/olimycin B",1
"45","paenibactin",38
"46","petrobactin",464
"47","peucechelin",1
"48","polyoxypeptin",1
"49","qinichelins",9
"50","rotihibin A",1
"51","sarpeptin A/sarpeptin B",2
"52","scabichelin",107
"53","spore pigment",9
"54","staphyloferrin A",2087
"55","staphyloferrin B",1640
"56","tetronomycin",1
"57","thiazostatin/watasemycin A/watasemycin B/2-hydroxyphenylthiazoline enantiopyochelin/isopyochelin",5
"58","venemycin",1
"59","weishanmycin",1
"60","α-lipomycin",1
