dataname,syn_group,html_path,region_name,syn_type,Most similar known cluster,Similarity
GCF_046741665.1_NZ_CP123082.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_046741665.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_023158915.1_NZ_CP096114.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_023158915.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_023611825.1_NZ_CP086574.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_023611825.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_016756375.1_NZ_AP024201.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_016756375.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_016756355.1_NZ_AP024200.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_016756355.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_038104935.1_NZ_CP151185.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_038104935.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_038106905.1_NZ_CP151186.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_038106905.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_927312875.1_NZ_OV648025.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_927312875.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_022226895.1_NZ_CP092072.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_022226895.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_022370435.1_NZ_CP083805.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_022370435.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_002812345.2_NZ_CP025023.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_002812345.2\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_003595345.1_NZ_CP023076.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_003595345.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_003967115.1_NZ_AP018562.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_003967115.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_023612175.1_NZ_CP086570.1.region004,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_023612175.1\index.html,#r1c4,NI-siderophore,staphyloferrin B,0.91
GCF_023612155.1_NZ_CP086572.1.region004,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_023612155.1\index.html,#r1c4,NI-siderophore,staphyloferrin B,0.91
GCF_000236925.1_NC_016941.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_000236925.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_007859575.1_NZ_CP042286.1.region002,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_007859575.1\index.html,#r1c2,NI-siderophore,staphyloferrin B,0.91
GCF_900636685.1_NZ_LR134304.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_900636685.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_025559405.1_NZ_CP094768.1.region007,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_025559405.1\index.html,#r1c7,NI-siderophore,staphyloferrin B,0.91
GCF_022405075.1_NZ_CP062346.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_022405075.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_022405615.1_NZ_CP062395.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_022405615.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_022405495.1_NZ_CP062382.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_022405495.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_022405475.1_NZ_CP062380.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_022405475.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_009912935.1_NZ_CP047794.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_009912935.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_009912955.1_NZ_CP047797.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_009912955.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_018093065.1_NZ_CP070991.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_018093065.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_000452385.2_NZ_CP012409.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_000452385.2\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_046741805.1_NZ_CP123106.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_046741805.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_023223475.1_NZ_CP092475.1.region007,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_023223475.1\index.html,#r1c7,NI-siderophore,staphyloferrin B,0.91
GCF_001018835.2_NZ_CP026064.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_001018835.2\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_004153365.1_NZ_CP035671.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_004153365.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_002786535.1_NZ_CP022291.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_002786535.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_003185005.1_NZ_CP028470.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_003185005.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_003184985.1_NZ_CP028468.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_003184985.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_013008375.1_NZ_CP053101.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_013008375.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_000695215.1_NZ_CP007659.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_000695215.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_000284535.1_NC_017763.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_000284535.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_046741875.1_NZ_CP123115.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_046741875.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_900635905.1_NZ_LR134193.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_900635905.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_900635245.1_NZ_LR134086.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_900635245.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_900620235.1_NZ_LR130513.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_900620235.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_046741865.1_NZ_CP122488.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_046741865.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_020887155.1_NZ_AP025176.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_020887155.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_020887215.1_NZ_AP025177.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_020887215.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_040365385.1_NZ_CP138886.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_040365385.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_037076495.1_NZ_AP028991.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_037076495.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_037076515.1_NZ_AP028993.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_037076515.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_037076505.1_NZ_AP028992.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_037076505.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_040365755.1_NZ_CP138889.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_040365755.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_040366375.1_NZ_CP138892.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_040366375.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_040361455.1_NZ_CP138862.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_040361455.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_040362785.1_NZ_CP138866.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_040362785.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_040363695.1_NZ_CP138873.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_040363695.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_040364095.1_NZ_CP138878.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_040364095.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_040364505.1_NZ_CP138881.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_040364505.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_040365085.1_NZ_CP138884.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_040365085.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_040364105.1_NZ_CP138880.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_040364105.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_040363755.1_NZ_CP138875.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_040363755.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_040363465.1_NZ_CP138869.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_040363465.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_040361795.1_NZ_CP138864.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_040361795.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_040361185.1_NZ_CP138859.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_040361185.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_030533705.1_NZ_CP130515.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_030533705.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_030533935.1_NZ_CP130529.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_030533935.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_030533875.1_NZ_CP130525.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_030533875.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_033802645.2_NZ_CP138455.2.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_033802645.2\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_027920385.1_NZ_CP115887.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_027920385.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_046741995.1_NZ_CP123139.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_046741995.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_046741745.1_NZ_CP123093.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_046741745.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
