Strain_Name,BGC_Filename,PBP2_Count,PBP2_Locus_Tags
GCF_000009025.1,NC_007356.1.region001.gbk,0,
GCF_000008945.1,NC_010816.1.region001.gbk,0,
GCF_000008065.1,NC_005362.1.region001.gbk,0,
GCF_000010005.1,NC_010609.1.region001.gbk,0,
GCF_000010145.1,NC_010610.1.region001.gbk,0,
GCF_000008925.1,NC_007929.1.region001.gbk,0,
GCF_000008925.1,NC_007930.1.region001.gbk,0,
GCF_000010185.1,NC_010376.1.region001.gbk,0,
GCF_000010185.1,NC_010376.1.region002.gbk,0,
GCF_000007265.1,NC_004116.1.region001.gbk,0,
GCF_000007265.1,NC_004116.1.region002.gbk,0,
GCF_000011025.1,NC_013715.1.region001.gbk,0,
GCF_000011025.1,NC_013715.1.region002.gbk,1,RMDY18_RS03435
GCF_000011045.1,NC_017482.1.region001.gbk,0,
GCF_000011045.1,NC_017482.1.region002.gbk,0,
GCF_000007625.1,NC_004557.1.region001.gbk,0,
GCF_000007625.1,NC_004557.1.region002.gbk,0,
GCF_000009905.1,NC_006177.1.region001.gbk,0,
GCF_000009905.1,NC_006177.1.region002.gbk,0,
GCF_000008345.1,NC_006085.1.region001.gbk,1,PPA_RS04060
GCF_000008345.1,NC_006085.1.region002.gbk,0,
GCF_000008345.1,NC_006085.1.region003.gbk,0,
GCF_000008285.1,NC_002973.6.region001.gbk,0,
GCF_000008285.1,NC_002973.6.region002.gbk,0,
GCF_000008285.1,NC_002973.6.region003.gbk,0,
GCF_000007285.1,NC_003485.1.region001.gbk,0,
GCF_000007285.1,NC_003485.1.region002.gbk,0,
GCF_000007285.1,NC_003485.1.region003.gbk,0,
GCF_000009385.1,NC_009332.1.region001.gbk,0,
GCF_000009385.1,NC_009332.1.region002.gbk,0,
GCF_000009385.1,NC_009332.1.region003.gbk,0,
GCF_000006785.2,NC_002737.2.region001.gbk,0,
GCF_000006785.2,NC_002737.2.region002.gbk,0,
GCF_000006785.2,NC_002737.2.region003.gbk,0,
GCF_000007085.1,NC_003869.1.region001.gbk,0,
GCF_000007085.1,NC_003869.1.region002.gbk,0,
GCF_000007085.1,NC_003869.1.region003.gbk,0,
GCF_000009865.1,NC_007168.1.region001.gbk,0,
GCF_000009865.1,NC_007168.1.region002.gbk,1,SH_RS04030
GCF_000009865.1,NC_007168.1.region003.gbk,0,
GCF_000009865.1,NC_007171.1.region001.gbk,0,
GCF_000009205.2,NC_009089.1.region001.gbk,0,
GCF_000009205.2,NC_009089.1.region002.gbk,0,
GCF_000009205.2,NC_009089.1.region003.gbk,0,
GCF_000009205.2,NC_009089.1.region004.gbk,0,
GCF_000009685.1,NC_003366.1.region001.gbk,0,
GCF_000009685.1,NC_003366.1.region002.gbk,0,
GCF_000009685.1,NC_003366.1.region003.gbk,0,
GCF_000009685.1,NC_003366.1.region004.gbk,0,
GCF_000009825.1,NC_006582.1.region001.gbk,0,
GCF_000009825.1,NC_006582.1.region002.gbk,0,
GCF_000009825.1,NC_006582.1.region003.gbk,0,
GCF_000009825.1,NC_006582.1.region004.gbk,0,
GCF_000010125.1,NC_007350.1.region001.gbk,0,
GCF_000010125.1,NC_007350.1.region002.gbk,1,SSP_RS03455
GCF_000010125.1,NC_007350.1.region003.gbk,0,
GCF_000010125.1,NC_007350.1.region004.gbk,0,
GCF_000010705.1,NC_012891.1.region001.gbk,0,
GCF_000010705.1,NC_012891.1.region002.gbk,0,
GCF_000010705.1,NC_012891.1.region003.gbk,0,
GCF_000010705.1,NC_012891.1.region004.gbk,0,
GCF_000007425.1,NC_004070.1.region001.gbk,0,
GCF_000007425.1,NC_004070.1.region002.gbk,0,
GCF_000007425.1,NC_004070.1.region003.gbk,0,
GCF_000007425.1,NC_004070.1.region004.gbk,0,
GCF_000007785.1,NC_004668.1.region001.gbk,0,
GCF_000007785.1,NC_004668.1.region002.gbk,0,
GCF_000007785.1,NC_004668.1.region003.gbk,0,
GCF_000007785.1,NC_004668.1.region004.gbk,0,
GCF_000011985.1,NC_006814.3.region001.gbk,0,
GCF_000010225.1,NC_009342.1.region001.gbk,0,
GCF_000010225.1,NC_009342.1.region002.gbk,0,
GCF_000010225.1,NC_009342.1.region003.gbk,0,
GCF_000010225.1,NC_009342.1.region004.gbk,0,
GCF_000009545.1,NC_012004.1.region001.gbk,0,
GCF_000009545.1,NC_012004.1.region002.gbk,0,
GCF_000009545.1,NC_012004.1.region003.gbk,0,
GCF_000009545.1,NC_012004.1.region004.gbk,0,
GCF_000009425.1,NC_009004.1.region001.gbk,0,
GCF_000009425.1,NC_009004.1.region002.gbk,0,
GCF_000009425.1,NC_009004.1.region003.gbk,0,
GCF_000009425.1,NC_009004.1.region004.gbk,0,
GCF_000007665.1,NC_006087.1.region001.gbk,0,
GCF_000007665.1,NC_006087.1.region002.gbk,0,
GCF_000007665.1,NC_006087.1.region003.gbk,0,
GCF_000007665.1,NC_006087.1.region004.gbk,0,
GCF_000009405.1,NC_012121.1.region001.gbk,0,
GCF_000009405.1,NC_012121.1.region002.gbk,0,
GCF_000009405.1,NC_012121.1.region003.gbk,1,SCA_RS08565
GCF_000009405.1,NC_012121.1.region004.gbk,0,
GCF_000009405.1,NC_012121.1.region005.gbk,0,
GCF_000007045.1,NC_003098.1.region001.gbk,0,
GCF_000007045.1,NC_003098.1.region002.gbk,0,
GCF_000007045.1,NC_003098.1.region003.gbk,0,
GCF_000007045.1,NC_003098.1.region004.gbk,0,
GCF_000007045.1,NC_003098.1.region005.gbk,0,
GCF_000009785.1,NC_006510.1.region001.gbk,0,
GCF_000009785.1,NC_006510.1.region002.gbk,0,
GCF_000009785.1,NC_006510.1.region003.gbk,0,
GCF_000009785.1,NC_006510.1.region004.gbk,0,
GCF_000009785.1,NC_006510.1.region005.gbk,0,
GCF_000006865.1,NC_002662.1.region001.gbk,0,
GCF_000006865.1,NC_002662.1.region002.gbk,0,
GCF_000006865.1,NC_002662.1.region003.gbk,0,
GCF_000006865.1,NC_002662.1.region004.gbk,0,
GCF_000006865.1,NC_002662.1.region005.gbk,0,
GCF_000012705.1,NC_007432.1.region001.gbk,0,
GCF_000012705.1,NC_007432.1.region002.gbk,0,
GCF_000010045.1,NC_007907.1.region001.gbk,0,
GCF_000010045.1,NC_007907.1.region002.gbk,0,
GCF_000010045.1,NC_007907.1.region003.gbk,0,
GCF_000010045.1,NC_007907.1.region004.gbk,0,
GCF_000010045.1,NC_007907.1.region005.gbk,0,
GCF_000010045.1,NC_007907.1.region006.gbk,0,
GCF_000011765.3,NC_007297.2.region001.gbk,0,
GCF_000011765.3,NC_007297.2.region002.gbk,0,
GCF_000011765.3,NC_007297.2.region003.gbk,0,
GCF_000008505.1,NC_005957.1.region001.gbk,0,
GCF_000008505.1,NC_005957.1.region002.gbk,0,
GCF_000008505.1,NC_005957.1.region003.gbk,0,
GCF_000008505.1,NC_005957.1.region004.gbk,0,
GCF_000008505.1,NC_005957.1.region005.gbk,0,
GCF_000008505.1,NC_005957.1.region006.gbk,0,
GCF_000008765.1,NC_001988.2.region001.gbk,0,
GCF_000008765.1,NC_003030.1.region001.gbk,0,
GCF_000008765.1,NC_003030.1.region002.gbk,0,
GCF_000008765.1,NC_003030.1.region003.gbk,0,
GCF_000008765.1,NC_003030.1.region004.gbk,0,
GCF_000008765.1,NC_003030.1.region005.gbk,0,
GCF_000010285.1,NC_010617.1.region001.gbk,0,
GCF_000010285.1,NC_010617.1.region002.gbk,0,
GCF_000010285.1,NC_010617.1.region003.gbk,0,
GCF_000010285.1,NC_010617.1.region004.gbk,0,
GCF_000010285.1,NC_010617.1.region005.gbk,0,
GCF_000010285.1,NC_010617.1.region006.gbk,0,
GCF_000006885.1,NC_003028.3.region001.gbk,0,
GCF_000006885.1,NC_003028.3.region002.gbk,0,
GCF_000006885.1,NC_003028.3.region003.gbk,0,
GCF_000006885.1,NC_003028.3.region004.gbk,0,
GCF_000006885.1,NC_003028.3.region005.gbk,0,
GCF_000006885.1,NC_003028.3.region006.gbk,0,
GCF_000011665.1,NC_006086.1.region001.gbk,0,
GCF_000011665.1,NC_006086.1.region002.gbk,0,
GCF_000011665.1,NC_006086.1.region003.gbk,0,
GCF_000007465.2,NC_004350.2.region001.gbk,0,
GCF_000007465.2,NC_004350.2.region002.gbk,0,
GCF_000007465.2,NC_004350.2.region003.gbk,0,
GCF_000007465.2,NC_004350.2.region004.gbk,0,
GCF_000007465.2,NC_004350.2.region005.gbk,0,
GCF_000007465.2,NC_004350.2.region006.gbk,0,
GCF_000007465.2,NC_004350.2.region007.gbk,0,
GCF_000015385.1,NC_010080.1.region001.gbk,0,
GCF_000007645.1,NC_004461.1.region001.gbk,0,
