Strain_Name,Has_BamA,Best_Evalue,Hit_Locus_Tag,Final_Classification
GCF_000008925.1,False,,Clean,Monoderm (Keep)
GCF_000009865.1,False,,Clean,Monoderm (Keep)
GCF_000009585.1,False,,Clean,Monoderm (Keep)
GCF_000008245.1,False,,Clean,Monoderm (Keep)
GCF_000008365.1,False,,Clean,Monoderm (Keep)
GCF_000008305.1,False,,Clean,Monoderm (Keep)
GCF_000009665.1,False,,Clean,Monoderm (Keep)
GCF_000010585.1,False,,Clean,Monoderm (Keep)
GCF_000008205.1,False,,Clean,Monoderm (Keep)
GCF_000008225.1,False,,Clean,Monoderm (Keep)
GCF_000007525.1,False,,Clean,Monoderm (Keep)
GCF_000006625.1,False,,Clean,Monoderm (Keep)
GCF_000010185.1,False,,Clean,Monoderm (Keep)
GCF_000007645.1,False,,Clean,Monoderm (Keep)
GCF_000008405.1,False,,Clean,Monoderm (Keep)
GCF_000007485.1,False,,Clean,Monoderm (Keep)
GCF_000006605.1,False,,Clean,Monoderm (Keep)
GCF_000010125.1,False,,Clean,Monoderm (Keep)
GCF_000009645.1,False,,Clean,Monoderm (Keep)
GCF_000009685.1,False,,Clean,Monoderm (Keep)
GCF_000005825.2,False,,Clean,Monoderm (Keep)
GCF_000009785.1,False,,Clean,Monoderm (Keep)
GCF_000008945.1,False,,Clean,Monoderm (Keep)
GCF_000008505.1,False,,Clean,Monoderm (Keep)
GCF_000007625.1,False,,Clean,Monoderm (Keep)
GCF_000007785.1,False,,Clean,Monoderm (Keep)
GCF_000010265.1,False,,Clean,Monoderm (Keep)
GCF_000009205.2,False,,Clean,Monoderm (Keep)
GCF_000007825.1,False,,Clean,Monoderm (Keep)
GCF_000010225.1,False,,Clean,Monoderm (Keep)
GCF_000008765.1,False,,Clean,Monoderm (Keep)
GCF_000011225.1,False,,Clean,Monoderm (Keep)
GCF_000009805.1,False,,Clean,Monoderm (Keep)
GCF_000008005.1,False,,Clean,Monoderm (Keep)
GCF_000009025.1,False,,Clean,Monoderm (Keep)
