dataname,syn_group,html_path,region_name,syn_type,Most similar known cluster,Similarity
GCF_020809105.1_NZ_CP083101.1.region008,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_020809105.1\index.html,#r1c8,NI-siderophore,petrobactin,1.0
GCF_020809145.1_NZ_CP083116.1.region008,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_020809145.1\index.html,#r1c8,NI-siderophore,petrobactin,1.0
GCF_001420855.1_NZ_CP013055.1.region008,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_001420855.1\index.html,#r1c8,NI-siderophore,petrobactin,1.0
GCF_028356755.1_NZ_CP116325.1.region002,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_028356755.1\index.html,#r1c2,NI-siderophore,petrobactin,1.0
GCF_046599155.1_NZ_CP158703.1.region003,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_046599155.1\index.html,#r1c3,NI-siderophore,petrobactin,1.0
GCF_001618665.1_NZ_CP015150.1.region003,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_001618665.1\index.html,#r1c3,NI-siderophore,petrobactin,1.0
GCF_000338755.1_NC_020238.1.region003,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_000338755.1\index.html,#r1c3,NI-siderophore,petrobactin,1.0
GCF_000717535.1_NZ_CP004870.1.region003,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_000717535.1\index.html,#r1c3,NI-siderophore,petrobactin,1.0
GCF_000688795.1_NZ_CP004858.1.region003,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_000688795.1\index.html,#r1c3,NI-siderophore,petrobactin,1.0
GCF_023921665.1_NZ_CP072691.1.region008,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_023921665.1\index.html,#r1c8,NI-siderophore,petrobactin,1.0
GCF_025677725.1_NZ_CP106947.1.region009,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_025677725.1\index.html,#r1c9,NI-siderophore,petrobactin,1.0
GCF_013267255.1_NZ_CP053951.1.region008,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_013267255.1\index.html,#r1c8,NI-siderophore,petrobactin,1.0
GCF_002222555.1_NZ_CP022345.1.region008,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_002222555.1\index.html,#r1c8,NI-siderophore,petrobactin,1.0
GCF_025035865.1_NZ_CP010272.1.region008,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_025035865.1\index.html,#r1c8,NI-siderophore,petrobactin,1.0
GCF_016727405.1_NZ_CP068135.1.region008,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_016727405.1\index.html,#r1c8,NI-siderophore,petrobactin,1.0
GCF_009739985.1_NZ_CP040342.1.region009,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_009739985.1\index.html,#r1c9,NI-siderophore,petrobactin,1.0
GCF_013112375.1_NZ_CP053289.1.region007,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_013112375.1\index.html,#r1c7,NI-siderophore,petrobactin,1.0
GCF_022701035.1_NZ_CP065509.1.region006,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_022701035.1\index.html,#r1c6,NI-siderophore,petrobactin,1.0
GCF_003626955.1_NZ_CP032608.1.region002,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_003626955.1\index.html,#r1c2,NI-siderophore,petrobactin,1.0
GCF_002813875.1_NZ_CP024655.1.region011,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_002813875.1\index.html,#r1c11,NI-siderophore,petrobactin,1.0
GCF_009739925.1_NZ_CP040334.1.region011,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_009739925.1\index.html,#r1c11,NI-siderophore,petrobactin,1.0
GCF_003013315.1_NZ_CP026678.1.region001,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_003013315.1\index.html,#r1c1,NI-siderophore,petrobactin,1.0
GCF_016917795.1_NZ_CP070339.1.region008,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_016917795.1\index.html,#r1c8,NI-siderophore,petrobactin,1.0
GCF_027627725.1_NZ_CP114392.1.region008,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_027627725.1\index.html,#r1c8,NI-siderophore,petrobactin,1.0
GCF_027627765.1_NZ_CP114406.1.region008,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_027627765.1\index.html,#r1c8,NI-siderophore,petrobactin,1.0
GCF_027627745.1_NZ_CP114399.1.region008,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_027627745.1\index.html,#r1c8,NI-siderophore,petrobactin,1.0
GCF_020809185.1_NZ_CP083134.1.region007,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_020809185.1\index.html,#r1c7,NI-siderophore,petrobactin,1.0
GCF_020809165.1_NZ_CP083129.1.region008,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_020809165.1\index.html,#r1c8,NI-siderophore,petrobactin,1.0
GCF_031170655.1_NZ_CP133369.1.region008,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_031170655.1\index.html,#r1c8,NI-siderophore,petrobactin,1.0
GCF_031171585.1_NZ_CP133375.1.region008,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_031171585.1\index.html,#r1c8,NI-siderophore,petrobactin,1.0
GCF_040268315.1_NZ_CP158496.1.region009,1,\\192.168.1.106\Pdisk7\yll\Bacillus_new\antismash_results\GCF_040268315.1\index.html,#r1c9,NI-siderophore,petrobactin,1.0
