accession,syn_id,mibig_reference,product,type,sid_type,tonb_num,pb_num,family,genus,species,genome_tonb,genome_pb
GCF_000018105.1,GCF_000018105.1|NC_009926.1|r2c1|taxlllaid A,BGC0001133,taxlllaid A,NRP,NRP,0,0,Acaryochloridaceae,Acaryochloris,Acaryochloris marina,12,15
GCF_002356335.1,GCF_002356335.1|NZ_AP018165.1|r1c6|ectoine,BGC0000853,ectoine,Other,NRP,0,0,Mycobacteriaceae,Mycobacteroides,[Mycobacterium] stephanolepidis,0,4
GCF_022647505.1,GCF_022647505.1|NZ_CP071409.1|r1c5|unknown,unknown,unknown,unknown,NIS,0,0,Erwiniaceae,Erwinia,[Pantoea] beijingensis,6,7
GCF_016728825.1,GCF_016728825.1|NZ_CP068211.1|r1c5|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,54,8
GCF_016728825.1,GCF_016728825.1|NZ_CP068211.1|r1c6|unknown,unknown,unknown,unknown,NIS,1,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,54,8
GCF_022870085.1,GCF_022870085.1|NZ_CP064377.1|r1c5|unknown,unknown,unknown,unknown,NIS,1,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,58,8
GCF_022870085.1,GCF_022870085.1|NZ_CP064377.1|r1c6|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,58,8
GCF_022870085.1,GCF_022870085.1|NZ_CP064377.1|r1c10|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,2,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,58,8
GCF_022870085.1,GCF_022870085.1|NZ_CP064377.1|r1c11|unknown,unknown,unknown,unknown,Other,2,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,58,8
GCF_001457475.1,GCF_001457475.1|NZ_LN831029.1|r1c1|unknown,unknown,unknown,unknown,Other,2,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,57,8
GCF_001457475.1,GCF_001457475.1|NZ_LN831029.1|r1c2|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,57,8
GCF_001457475.1,GCF_001457475.1|NZ_LN831029.1|r1c6|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,57,8
GCF_001457475.1,GCF_001457475.1|NZ_LN831029.1|r1c7|unknown,unknown,unknown,unknown,NIS,1,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,57,8
GCF_013343135.1,GCF_013343135.1|NZ_CP054571.1|r1c1|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,57,8
GCF_013343135.1,GCF_013343135.1|NZ_CP054571.1|r1c2|unknown,unknown,unknown,unknown,NIS,1,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,57,8
GCF_013343135.1,GCF_013343135.1|NZ_CP054571.1|r1c8|unknown,unknown,unknown,unknown,Other,2,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,57,8
GCF_013343135.1,GCF_013343135.1|NZ_CP054571.1|r1c9|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,57,8
GCF_001558755.2,GCF_001558755.2|NZ_CP014060.2|r1c1|unknown,unknown,unknown,unknown,NIS,1,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,69,9
GCF_001558755.2,GCF_001558755.2|NZ_CP014060.2|r1c2|alcaligin,BGC0002464,alcaligin,Other,NRP,3,1,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,69,9
