Unnamed: 0,X,dataname,syn_group,html_path,region_name,syn_type,Most.similar.known.cluster,Similarity,Genus,strainName,folder_path,BGC_number,version,gbk_path,definition,length,topology
1,1,GCF_037201975.1_NZ_CP147520.1.region014,1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037201975.1\index.html,#r1c14,NI-siderophore,0,0.0,Streptomyces,GCF_037201975.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037201975.1\,25,NZ_CP147520.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037201975.1\GCF_037201975.1.gbk,"Streptomyces sp. TG1A-60 chromosome, complete genome.",7826501,linear
2,2,GCF_016598575.1_NZ_CP066801.1.region011,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_016598575.1\index.html,#r1c11,NI-siderophore,0,0.0,Streptomyces,GCF_016598575.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_016598575.1\,25,NZ_CP066801.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_016598575.1\GCF_016598575.1.gbk,"Streptomyces sp. HSG2 chromosome, complete genome.",5282528,circular
3,3,GCF_041519305.1_NZ_CP167927.1.region026,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041519305.1\index.html,#r1c26,NI-siderophore,0,0.0,Streptomyces,GCF_041519305.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041519305.1\,49,NZ_CP167927.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041519305.1\GCF_041519305.1.gbk,"Streptomyces luteireticuli strain ASG80 chromosome, complete genome.",7906413,linear
4,4,GCF_017916255.1_NZ_CP072827.1.region020,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_017916255.1\index.html,#r1c20,NI-siderophore,0,0.0,Streptomyces,GCF_017916255.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_017916255.1\,38,NZ_CP072827.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_017916255.1\GCF_017916255.1.gbk,"Streptomyces mobaraensis NBRC 13819 = DSM 40847 chromosome, complete genome.",7574085,linear
5,5,GCF_022220465.1_NZ_CP092051.1.region016,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022220465.1\index.html,#r1c16,NI-siderophore,0,0.0,Streptomyces,GCF_022220465.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022220465.1\,32,NZ_CP092051.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022220465.1\GCF_022220465.1.gbk,Streptomyces sp. TYQ1024 chromosome.,7506783,linear
6,6,GCF_022759525.1_NZ_CP094262.1.region016,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022759525.1\index.html,#r1c16,NI-siderophore,0,0.0,Streptomyces,GCF_022759525.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022759525.1\,33,NZ_CP094262.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022759525.1\GCF_022759525.1.gbk,"Streptomyces mobaraensis strain DSM 40587 chromosome, complete genome.",7633041,linear
7,7,GCF_020099395.1_NZ_CP083590.1.region016,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020099395.1\index.html,#r1c16,NI-siderophore,0,0.0,Streptomyces,GCF_020099395.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020099395.1\,33,NZ_CP083590.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020099395.1\GCF_020099395.1.gbk,"Streptomyces mobaraensis strain DSM 40587 chromosome, complete genome.",7638929,linear
8,8,GCF_033547115.1_NZ_CP137895.1.region017,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033547115.1\index.html,#r1c17,NI-siderophore,0,0.0,Streptomyces,GCF_033547115.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033547115.1\,41,NZ_CP137895.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033547115.1\GCF_033547115.1.gbk,"Streptomyces malaysiensis strain NA3722 chromosome, complete genome.",10971232,linear
9,9,GCF_030122705.1_NZ_CP126066.1.region020,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_030122705.1\index.html,#r1c20,NI-siderophore,0,0.0,Streptomyces,GCF_030122705.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_030122705.1\,48,NZ_CP126066.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_030122705.1\GCF_030122705.1.gbk,"Streptomyces sp. NA07423 chromosome, complete genome.",11519256,linear
10,10,GCF_002591335.1_NZ_CP023992.1.region026,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002591335.1\index.html,#r1c26,NI-siderophore,0,0.0,Streptomyces,GCF_002591335.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002591335.1\,46,NZ_CP023992.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002591335.1\GCF_002591335.1.gbk,"Streptomyces malaysiensis strain DSM 4137 chromosome, complete genome.",10694678,linear
