Tag,gbk_path,ACCESSION,VERSION
RER_RS02515,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS02700,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS02710,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS03540,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS04250,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS05460,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS06455,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS07035,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS07045,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS07105,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS07125,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS07170,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS07460,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS07510,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS07910,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS09630,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS11805,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS13700,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS13705,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS14245,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS14880,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS15460,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS16145,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS16825,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS17985,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS18640,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS19375,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS20835,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS21055,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS23110,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS23770,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS23785,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS23790,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS25245,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS25600,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS28590,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS28610,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS28875,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS28970,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS29150,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS29385,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS29680,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS30390,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS30475,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS30605,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
RER_RS30775,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000010105.1\GCF_000010105.1.gbk,NC_012490,NC_012490.1
O5Y_RS00095,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS00585,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS00770,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS00780,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS01525,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS02185,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS03355,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS03980,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS04560,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS04570,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS04630,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS04650,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS04695,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS04960,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS05010,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS05435,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS07235,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS09405,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS10940,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS10945,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS11475,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS11745,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS12295,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS12970,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS13485,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS14640,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS15285,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS15760,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS17230,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS17450,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS19525,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS20175,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS20190,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS20195,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS21670,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS22020,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS24975,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS24995,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS25250,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS25345,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS25535,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS25825,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS26120,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS26860,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS26945,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS27075,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
O5Y_RS27240,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000454045.1\GCF_000454045.1.gbk,NC_022115,NC_022115.1
H351_RS00775,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS01485,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS02265,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS02275,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS02465,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS04575,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS04745,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS04875,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS04960,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS05665,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS05960,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS06245,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS06425,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS06520,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS06740,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS06760,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS09610,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS09955,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS11380,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS11385,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS11400,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS12075,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS14015,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS14235,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS15760,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS16230,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS16930,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS18080,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS18590,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS19270,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
