"","Unnamed..0","X","dataname","syn_group","html_path","region_name","syn_type","Most.similar.known.cluster","Similarity","Genus","strainName","folder_path","BGC_number","version","gbk_path","definition","length","topology","start","end","accesion_version"
"435",435,435,"GCF_037993025.1_NZ_CP141223.1.region027",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037993025.1\index.html","#r1c27","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_037993025.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037993025.1\",29,"NZ_CP141223.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037993025.1\GCF_037993025.1.gbk","Streptomyces sp. SS7 chromosome, complete genome.",9799701,"linear",9024440,9082812,"NZ_CP141223.1"
"436",436,436,"GCF_024297125.1_NZ_CP101140.1.region024",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\index.html","#r1c24","NRP-metallophore,NRPS,melanin","coelichelin",0.81,"Streptomyces","GCF_024297125.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\",28,"NZ_CP101140.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk","Streptomyces cavourensis strain 2BA6PG chromosome, complete genome.",7651223,"linear",7356609,7414963,"NZ_CP101140.1"
"437",437,437,"GCF_009296025.1_NZ_CP045178.1.region026",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\index.html","#r1c26","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_009296025.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\",36,"NZ_CP045178.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\GCF_009296025.1.gbk","Streptomyces tsukubensis strain AT3 chromosome, complete genome.",8615214,"linear",7006329,7065200,"NZ_CP045178.1"
"438",438,438,"GCF_001650215.1_NZ_CP015726.1.region038",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001650215.1\index.html","#r1c38","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_001650215.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001650215.1\",39,"NZ_CP015726.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001650215.1\GCF_001650215.1.gbk","Streptomyces sp. RTd22 chromosome, complete genome.",11142275,"linear",10812951,10871355,"NZ_CP015726.1"
"439",439,439,"GCF_036346615.1_NZ_CP107836.1.region004",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036346615.1\index.html","#r1c4","NRP-metallophore,NRPS,betalactone","coelichelin",1,"Streptomyces","GCF_036346615.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036346615.1\",19,"NZ_CP107836.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036346615.1\GCF_036346615.1.gbk","Streptomyces sp. NBC_00523 chromosome, complete genome.",7239234,"linear",668507,726781,"NZ_CP107836.1"
"440",440,440,"GCF_031844705.1_NZ_CP134609.1.region016",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\index.html","#r1c16","NRP-metallophore,NRPS,betalactone,T3PKS","coelichelin",1,"Streptomyces","GCF_031844705.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\",22,"NZ_CP134609.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\GCF_031844705.1.gbk","Streptomyces sp. ITFR-16 chromosome, complete genome.",7902135,"linear",7370730,7451933,"NZ_CP134609.1"
"441",441,441,"GCF_045207435.1_NZ_CP108800.1.region004",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045207435.1\index.html","#r1c4","T3PKS,betalactone,NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_045207435.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045207435.1\",20,"NZ_CP108800.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045207435.1\GCF_045207435.1.gbk","Streptomyces sp. NBC_00876 chromosome, complete genome.",8497307,"linear",472097,552711,"NZ_CP108800.1"
"442",442,442,"GCF_001654495.1_NZ_CP015849.1.region025",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001654495.1\index.html","#r1c25","RiPP-like,NRPS,terpene,NRP-metallophore","coelichelin",1,"Streptomyces","GCF_001654495.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001654495.1\",27,"NZ_CP015849.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001654495.1\GCF_001654495.1.gbk","Streptomyces sp. SAT1 chromosome, complete genome.",7472530,"linear",7267610,7367999,"NZ_CP015849.1"
"443",443,443,"GCF_036226885.1_NZ_CP109027.1.region005",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226885.1\index.html","#r1c5","NRP-metallophore,NRPS,NRPS-like,T1PKS","coelichelin",1,"Streptomyces","GCF_036226885.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226885.1\",29,"NZ_CP109027.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226885.1\GCF_036226885.1.gbk","Streptomyces sp. NBC_00663 chromosome, complete genome.",9859624,"linear",1230043,1316032,"NZ_CP109027.1"
"444",444,444,"GCF_045041065.1_NZ_CP108293.1.region007",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041065.1\index.html","#r1c7","NRP-metallophore,NRPS,T1PKS,NRPS-like","coelichelin",1,"Streptomyces","GCF_045041065.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041065.1\",27,"NZ_CP108293.1","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041065.1\GCF_045041065.1.gbk","Streptomyces sp. NBC_00028 chromosome, complete genome.",9741312,"linear",1376466,1464533,"NZ_CP108293.1"
