"","sider_index","dataname","gbk_path","receptor_index","absolute_distance","relative_distance","most_similar_siderophore"
"1",1,"GCF_037993025.1_NZ_CP141223.1.region027","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037993025.1\GCF_037993025.1.gbk",1,2800395,0.285763310533658,"coelichelin"
"2",1,"GCF_037993025.1_NZ_CP141223.1.region027","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037993025.1\GCF_037993025.1.gbk",2,2061487,0.210362234521237,"coelichelin"
"3",1,"GCF_037993025.1_NZ_CP141223.1.region027","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037993025.1\GCF_037993025.1.gbk",3,2059609,0.210170596021246,"coelichelin"
"4",1,"GCF_037993025.1_NZ_CP141223.1.region027","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037993025.1\GCF_037993025.1.gbk",4,1171041,0.119497625488778,"coelichelin"
"5",1,"GCF_037993025.1_NZ_CP141223.1.region027","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037993025.1\GCF_037993025.1.gbk",5,0,0,"coelichelin"
"6",1,"GCF_037993025.1_NZ_CP141223.1.region027","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037993025.1\GCF_037993025.1.gbk",6,202248,0.0206381806955131,"coelichelin"
"7",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",1,7352044,0.960897885213906,"coelichelin"
"8",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",2,7075661,0.924775163395447,"coelichelin"
"9",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",3,5871986,0.767457176454013,"coelichelin"
"10",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",4,5393587,0.704931355418604,"coelichelin"
"11",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",5,4223907,0.552056449014752,"coelichelin"
"12",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",6,4024886,0.526044790486436,"coelichelin"
"13",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",7,2252842,0.294442078083465,"coelichelin"
"14",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",8,1568337,0.204978602767165,"coelichelin"
"15",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",9,1535610,0.200701247369211,"coelichelin"
"16",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",10,769415,0.100561047560632,"coelichelin"
"17",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",11,346504,0.0452874004587241,"coelichelin"
"18",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",12,125063,0.0163454914331996,"coelichelin"
