Subfolder,File,Subset,Locus.id
GCF_000007825.1,NC_004722.1.region001.gbk,1,BC_RS02130
GCF_000007825.1,NC_004722.1.region002.gbk,0,
GCF_000007825.1,NC_004722.1.region003.gbk,1,BC_RS09880
GCF_000007825.1,NC_004722.1.region004.gbk,1,BC_RS11545
GCF_000007825.1,NC_004722.1.region005.gbk,0,
GCF_000007825.1,NC_004722.1.region006.gbk,0,
GCF_000007825.1,NC_004722.1.region007.gbk,0,
GCF_000007825.1,NC_004722.1.region008.gbk,0,
GCF_000007825.1,NC_004722.1.region009.gbk,0,
GCF_000007825.1,NC_004722.1.region010.gbk,0,
GCF_000007825.1,NC_004722.1.region011.gbk,0,
GCF_000007845.1,NC_003997.3.region001.gbk,0,
GCF_000007845.1,NC_003997.3.region002.gbk,1,BA_RS09585
GCF_000007845.1,NC_003997.3.region003.gbk,1,BA_RS11370
GCF_000007845.1,NC_003997.3.region004.gbk,0,
GCF_000007845.1,NC_003997.3.region005.gbk,0,
GCF_000007845.1,NC_003997.3.region006.gbk,0,
GCF_000007845.1,NC_003997.3.region007.gbk,0,
GCF_000008005.1,NC_003909.8.region001.gbk,0,
GCF_000008005.1,NC_003909.8.region002.gbk,0,
GCF_000008005.1,NC_003909.8.region003.gbk,1,BCE_RS11710
GCF_000008005.1,NC_003909.8.region004.gbk,0,
GCF_000008005.1,NC_003909.8.region005.gbk,0,
GCF_000008005.1,NC_003909.8.region006.gbk,0,
GCF_000008005.1,NC_003909.8.region007.gbk,0,
GCF_000008165.1,NC_005945.1.region001.gbk,0,
GCF_000008165.1,NC_005945.1.region002.gbk,1,BAS_RS09600
GCF_000008165.1,NC_005945.1.region003.gbk,1,BAS_RS11385
GCF_000008165.1,NC_005945.1.region004.gbk,0,
GCF_000008165.1,NC_005945.1.region005.gbk,0,
GCF_000008165.1,NC_005945.1.region006.gbk,0,
GCF_000008165.1,NC_005945.1.region007.gbk,0,
GCF_000008425.1,NC_006322.1.region001.gbk,0,
GCF_000008425.1,NC_006322.1.region002.gbk,0,
GCF_000008425.1,NC_006322.1.region003.gbk,0,
GCF_000008425.1,NC_006322.1.region004.gbk,0,
GCF_000008425.1,NC_006322.1.region005.gbk,0,
GCF_000008425.1,NC_006322.1.region006.gbk,1,BLI_RS11630
GCF_000008425.1,NC_006322.1.region007.gbk,0,
GCF_000008425.1,NC_006322.1.region008.gbk,1,"BLI_RS19195,BLI_RS19175"
GCF_000008425.1,NC_006322.1.region009.gbk,0,
GCF_000008425.1,NC_006322.1.region010.gbk,0,
GCF_000008445.1,NC_007530.2.region001.gbk,0,
GCF_000008445.1,NC_007530.2.region002.gbk,1,GBAA_RS09890
GCF_000008445.1,NC_007530.2.region003.gbk,1,GBAA_RS11745
GCF_000008445.1,NC_007530.2.region004.gbk,0,
GCF_000008445.1,NC_007530.2.region005.gbk,0,
GCF_000008445.1,NC_007530.2.region006.gbk,0,
GCF_000008445.1,NC_007530.2.region007.gbk,0,
GCF_000008505.1,NC_005957.1.region001.gbk,0,
GCF_000008505.1,NC_005957.1.region002.gbk,1,BT9727_RS09715
GCF_000008505.1,NC_005957.1.region003.gbk,1,BT9727_RS11395
GCF_000008505.1,NC_005957.1.region004.gbk,0,
GCF_000008505.1,NC_005957.1.region005.gbk,0,
GCF_000008505.1,NC_005957.1.region006.gbk,0,
GCF_000009045.1,NC_000964.3.region001.gbk,0,
GCF_000009045.1,NC_000964.3.region002.gbk,0,
GCF_000009045.1,NC_000964.3.region003.gbk,0,
GCF_000009045.1,NC_000964.3.region004.gbk,1,BSU_17010
GCF_000009045.1,NC_000964.3.region005.gbk,0,
GCF_000009045.1,NC_000964.3.region006.gbk,0,
GCF_000009045.1,NC_000964.3.region007.gbk,0,
GCF_000009045.1,NC_000964.3.region008.gbk,0,
GCF_000009045.1,NC_000964.3.region009.gbk,1,BSU_32000
GCF_000009045.1,NC_000964.3.region010.gbk,0,
GCF_000009045.1,NC_000964.3.region011.gbk,0,
GCF_000009045.1,NC_000964.3.region012.gbk,0,
GCF_000009045.1,NC_000964.3.region013.gbk,0,
GCF_000009045.1,NC_000964.3.region014.gbk,0,
GCF_000011625.1,NC_006274.1.region001.gbk,0,
GCF_000011625.1,NC_006274.1.region002.gbk,0,
GCF_000011625.1,NC_006274.1.region003.gbk,1,BCE33L_RS09875
GCF_000011625.1,NC_006274.1.region004.gbk,1,BCE33L_RS11625
GCF_000011625.1,NC_006274.1.region005.gbk,0,
GCF_000011625.1,NC_006274.1.region006.gbk,0,
GCF_000011625.1,NC_006274.1.region007.gbk,0,
GCF_000011645.1,NC_006270.3.region001.gbk,0,
GCF_000011645.1,NC_006270.3.region002.gbk,0,
GCF_000011645.1,NC_006270.3.region003.gbk,0,
GCF_000011645.1,NC_006270.3.region004.gbk,0,
GCF_000011645.1,NC_006270.3.region005.gbk,0,
GCF_000011645.1,NC_006270.3.region006.gbk,1,TRNA_RS33135
GCF_000011645.1,NC_006270.3.region007.gbk,0,
GCF_000011645.1,NC_006270.3.region008.gbk,1,"TRNA_RS40680,TRNA_RS40700"
GCF_000011645.1,NC_006270.3.region009.gbk,0,
GCF_000011645.1,NC_006270.3.region010.gbk,0,
GCF_000015065.1,NC_008600.1.region001.gbk,0,
GCF_000015065.1,NC_008600.1.region002.gbk,0,
GCF_000015065.1,NC_008600.1.region003.gbk,1,BALH_RS09825
GCF_000015065.1,NC_008600.1.region004.gbk,1,BALH_RS11700
GCF_000015065.1,NC_008600.1.region005.gbk,0,
GCF_000015065.1,NC_008600.1.region006.gbk,0,
GCF_000015065.1,NC_008600.1.region007.gbk,0,
GCF_000015065.1,NC_008600.1.region008.gbk,0,
GCF_000015065.1,NC_008600.1.region009.gbk,0,
GCF_000015785.2,NC_009725.2.region001.gbk,0,
GCF_000015785.2,NC_009725.2.region002.gbk,0,
GCF_000015785.2,NC_009725.2.region003.gbk,0,
GCF_000015785.2,NC_009725.2.region004.gbk,0,
GCF_000015785.2,NC_009725.2.region005.gbk,0,
GCF_000015785.2,NC_009725.2.region006.gbk,0,
GCF_000015785.2,NC_009725.2.region007.gbk,0,
GCF_000015785.2,NC_009725.2.region008.gbk,0,
GCF_000015785.2,NC_009725.2.region009.gbk,1,RBAM_RS10175
GCF_000015785.2,NC_009725.2.region010.gbk,0,
GCF_000015785.2,NC_009725.2.region011.gbk,0,
GCF_000015785.2,NC_009725.2.region012.gbk,1,"RBAM_RS14715,RBAM_RS14720"
GCF_000015785.2,NC_009725.2.region013.gbk,0,
GCF_000017425.1,NC_009674.1.region001.gbk,1,BCER98_RS02150
GCF_000017425.1,NC_009674.1.region002.gbk,0,
GCF_000017425.1,NC_009674.1.region003.gbk,0,
GCF_000017425.1,NC_009674.1.region004.gbk,1,BCER98_RS09080
GCF_000017425.1,NC_009674.1.region005.gbk,0,
GCF_000017425.1,NC_009674.1.region006.gbk,0,
GCF_000017425.1,NC_009674.1.region007.gbk,0,
GCF_000017425.1,NC_009674.1.region008.gbk,0,
GCF_000017425.1,NC_009674.1.region009.gbk,0,
GCF_000017885.4,NC_009848.4.region002.gbk,0,
GCF_000017885.4,NC_009848.4.region003.gbk,0,
GCF_000017885.4,NC_009848.4.region004.gbk,0,
GCF_000017885.4,NC_009848.4.region005.gbk,0,
GCF_000017885.4,NC_009848.4.region006.gbk,0,
GCF_000017885.4,NC_009848.4.region007.gbk,0,
GCF_000017885.4,NC_009848.4.region008.gbk,0,
GCF_000017885.4,NC_009848.4.region009.gbk,0,
GCF_000017885.4,NC_009848.4.region010.gbk,0,
GCF_000018825.1,NC_010180.1.region001.gbk,0,
GCF_000018825.1,NC_010180.1.region002.gbk,0,
GCF_000018825.1,NC_010184.1.region001.gbk,0,
GCF_000018825.1,NC_010184.1.region002.gbk,0,
GCF_000018825.1,NC_010184.1.region003.gbk,1,BCERKBAB4_RS09520
GCF_000018825.1,NC_010184.1.region004.gbk,1,BCERKBAB4_RS11115
GCF_000018825.1,NC_010184.1.region005.gbk,0,
GCF_000018825.1,NC_010184.1.region006.gbk,0,
GCF_000018825.1,NC_010184.1.region007.gbk,0,
GCF_000018825.1,NC_010184.1.region008.gbk,0,
GCF_000018825.1,NC_010184.1.region009.gbk,0,
GCF_000021205.1,NC_011725.1.region001.gbk,1,BCB4264_RS02245
GCF_000021205.1,NC_011725.1.region002.gbk,0,
GCF_000021205.1,NC_011725.1.region003.gbk,1,BCB4264_RS09760
GCF_000021205.1,NC_011725.1.region004.gbk,1,BCB4264_RS11520
GCF_000021205.1,NC_011725.1.region005.gbk,0,
GCF_000021205.1,NC_011725.1.region006.gbk,0,
GCF_000021205.1,NC_011725.1.region007.gbk,0,
GCF_000021205.1,NC_011725.1.region008.gbk,0,
GCF_000021205.1,NC_011725.1.region009.gbk,0,
GCF_000021305.1,NC_011772.1.region001.gbk,0,
GCF_000021305.1,NC_011772.1.region002.gbk,0,
GCF_000021305.1,NC_011772.1.region003.gbk,0,
GCF_000021305.1,NC_011772.1.region004.gbk,1,BCG9842_RS09340
GCF_000021305.1,NC_011772.1.region005.gbk,1,BCG9842_RS11060
GCF_000021305.1,NC_011772.1.region006.gbk,0,
GCF_000021305.1,NC_011772.1.region007.gbk,0,
GCF_000021305.1,NC_011772.1.region008.gbk,0,
GCF_000021305.1,NC_011772.1.region009.gbk,0,
GCF_000021305.1,NC_011772.1.region010.gbk,0,
GCF_000021305.1,NC_011772.1.region011.gbk,0,
GCF_000021445.1,NC_012581.1.region001.gbk,0,
GCF_000021445.1,NC_012581.1.region002.gbk,0,
GCF_000021445.1,NC_012581.1.region003.gbk,0,
GCF_000021445.1,NC_012581.1.region004.gbk,0,
GCF_000021445.1,NC_012581.1.region005.gbk,1,BAMEG_RS11160
GCF_000021445.1,NC_012581.1.region006.gbk,1,BAMEG_RS13020
GCF_000021445.1,NC_012581.1.region007.gbk,0,
GCF_000021785.1,NC_011773.1.region001.gbk,0,
GCF_000021785.1,NC_011773.1.region002.gbk,0,
GCF_000021785.1,NC_011773.1.region003.gbk,1,BCAH820_RS10110
GCF_000021785.1,NC_011773.1.region004.gbk,1,BCAH820_RS11990
GCF_000021785.1,NC_011773.1.region005.gbk,0,
GCF_000021785.1,NC_011773.1.region006.gbk,0,
GCF_000021785.1,NC_011773.1.region007.gbk,0,
GCF_000021785.1,NC_011773.1.region008.gbk,0,
GCF_000022505.1,NC_012472.1.region001.gbk,0,
GCF_000022505.1,NC_012472.1.region002.gbk,1,BCA_RS10810
GCF_000022505.1,NC_012472.1.region003.gbk,1,BCA_RS12760
GCF_000022505.1,NC_012472.1.region004.gbk,0,
GCF_000022505.1,NC_012472.1.region005.gbk,0,
GCF_000022505.1,NC_012472.1.region006.gbk,0,
GCF_000022865.1,NC_012659.1.region001.gbk,0,
GCF_000022865.1,NC_012659.1.region002.gbk,1,BAA_RS10395
GCF_000022865.1,NC_012659.1.region003.gbk,1,BAA_RS12255
GCF_000022865.1,NC_012659.1.region004.gbk,0,
GCF_000022865.1,NC_012659.1.region005.gbk,0,
GCF_000022865.1,NC_012659.1.region006.gbk,0,
GCF_000022865.1,NC_012659.1.region007.gbk,0,
GCF_000092165.1,NC_014171.1.region001.gbk,1,BMB171_RS02220
GCF_000092165.1,NC_014171.1.region002.gbk,0,
GCF_000092165.1,NC_014171.1.region003.gbk,1,BMB171_RS09760
GCF_000092165.1,NC_014171.1.region004.gbk,1,BMB171_RS11425
GCF_000092165.1,NC_014171.1.region005.gbk,0,
GCF_000092165.1,NC_014171.1.region006.gbk,0,
GCF_000092165.1,NC_014171.1.region007.gbk,0,
GCF_000092165.1,NC_014171.1.region008.gbk,0,
GCF_000092165.1,NC_014171.1.region009.gbk,0,
GCF_000092165.1,NC_014171.1.region010.gbk,0,
GCF_000092165.1,NC_014172.1.region001.gbk,0,
GCF_000143605.1,NC_014335.1.region001.gbk,0,
GCF_000143605.1,NC_014335.1.region002.gbk,1,BACI_RS09765
GCF_000143605.1,NC_014335.1.region003.gbk,1,BACI_RS11585
GCF_000143605.1,NC_014335.1.region004.gbk,0,
GCF_000143605.1,NC_014335.1.region005.gbk,0,
GCF_000143605.1,NC_014335.1.region006.gbk,0,
GCF_000146565.1,NC_014479.1.region001.gbk,0,
GCF_000146565.1,NC_014479.1.region002.gbk,0,
GCF_000146565.1,NC_014479.1.region003.gbk,1,BSUW23_RS09015
GCF_000146565.1,NC_014479.1.region004.gbk,0,
GCF_000146565.1,NC_014479.1.region005.gbk,0,
GCF_000146565.1,NC_014479.1.region006.gbk,1,BSUW23_RS20930
GCF_000146565.1,NC_014479.1.region007.gbk,1,BSUW23_RS15860
GCF_000146565.1,NC_014479.1.region008.gbk,0,
GCF_000146565.1,NC_014479.1.region009.gbk,0,
GCF_000146565.1,NC_014479.1.region010.gbk,0,
GCF_000165925.1,NC_014639.1.region001.gbk,0,
GCF_000165925.1,NC_014639.1.region002.gbk,0,
GCF_000165925.1,NC_014639.1.region003.gbk,0,
GCF_000165925.1,NC_014639.1.region004.gbk,0,
GCF_000165925.1,NC_014639.1.region005.gbk,0,
GCF_000165925.1,NC_014639.1.region006.gbk,1,BATR1942_RS21560
GCF_000165925.1,NC_014639.1.region007.gbk,1,"BATR1942_RS13270,BATR1942_RS13275"
GCF_000165925.1,NC_014639.1.region008.gbk,0,
GCF_000165925.1,NC_014639.1.region009.gbk,0,
GCF_000165925.1,NC_014639.1.region010.gbk,0,
GCF_000165925.1,NC_014639.1.region011.gbk,0,
GCF_000165925.1,NC_014639.1.region012.gbk,0,
GCF_000186745.1,NC_014976.1.region001.gbk,0,
GCF_000186745.1,NC_014976.1.region002.gbk,0,
GCF_000186745.1,NC_014976.1.region003.gbk,1,BSN5_RS21355
GCF_000186745.1,NC_014976.1.region004.gbk,0,
GCF_000186745.1,NC_014976.1.region005.gbk,1,BSN5_RS06965
GCF_000186745.1,NC_014976.1.region006.gbk,0,
GCF_000186745.1,NC_014976.1.region007.gbk,0,
GCF_000186745.1,NC_014976.1.region008.gbk,0,
GCF_000186745.1,NC_014976.1.region009.gbk,0,
GCF_000186745.1,NC_014976.1.region010.gbk,0,
GCF_000186745.1,NC_014976.1.region011.gbk,1,BSN5_RS20950
GCF_000193355.1,NC_017202.1.region001.gbk,0,
GCF_000193355.1,NC_017206.1.region001.gbk,0,
GCF_000193355.1,NC_017208.1.region001.gbk,1,CT43_RS02100
GCF_000193355.1,NC_017208.1.region002.gbk,0,
GCF_000193355.1,NC_017208.1.region003.gbk,1,CT43_RS09995
GCF_000193355.1,NC_017208.1.region004.gbk,1,CT43_RS11635
GCF_000193355.1,NC_017208.1.region005.gbk,0,
GCF_000193355.1,NC_017208.1.region006.gbk,0,
GCF_000193355.1,NC_017208.1.region007.gbk,0,
GCF_000193355.1,NC_017208.1.region008.gbk,0,
GCF_000193355.1,NC_017208.1.region009.gbk,0,
GCF_000193355.1,NC_017208.1.region010.gbk,0,
GCF_000195515.1,NC_017188.1.region001.gbk,0,
GCF_000195515.1,NC_017188.1.region002.gbk,0,
GCF_000195515.1,NC_017188.1.region003.gbk,0,
GCF_000195515.1,NC_017188.1.region004.gbk,0,
GCF_000195515.1,NC_017188.1.region005.gbk,1,BAMTA208_RS20635
GCF_000195515.1,NC_017188.1.region006.gbk,0,
GCF_000195515.1,NC_017188.1.region007.gbk,0,
GCF_000195515.1,NC_017188.1.region008.gbk,0,
GCF_000195515.1,NC_017188.1.region009.gbk,1,"BAMTA208_RS15355,BAMTA208_RS15350"
GCF_000195515.1,NC_017188.1.region010.gbk,0,
GCF_000196735.1,NC_014551.1.region001.gbk,0,
GCF_000196735.1,NC_014551.1.region002.gbk,0,
GCF_000196735.1,NC_014551.1.region003.gbk,0,
GCF_000196735.1,NC_014551.1.region004.gbk,0,
GCF_000196735.1,NC_014551.1.region005.gbk,0,
GCF_000196735.1,NC_014551.1.region006.gbk,0,
GCF_000196735.1,NC_014551.1.region007.gbk,0,
GCF_000196735.1,NC_014551.1.region008.gbk,1,BAMF_RS42030
GCF_000196735.1,NC_014551.1.region009.gbk,0,
GCF_000196735.1,NC_014551.1.region010.gbk,1,"BAMF_RS35795,BAMF_RS35790"
GCF_000196735.1,NC_014551.1.region011.gbk,0,
GCF_000204275.1,NC_017190.1.region001.gbk,0,
GCF_000204275.1,NC_017190.1.region002.gbk,0,
GCF_000204275.1,NC_017190.1.region003.gbk,0,
GCF_000204275.1,NC_017190.1.region004.gbk,0,
GCF_000204275.1,NC_017190.1.region005.gbk,0,
GCF_000204275.1,NC_017190.1.region006.gbk,0,
GCF_000204275.1,NC_017190.1.region007.gbk,0,
GCF_000204275.1,NC_017190.1.region008.gbk,0,
GCF_000204275.1,NC_017190.1.region009.gbk,1,"LL3_RS15610,LL3_RS15615"
GCF_000204275.1,NC_017190.1.region010.gbk,0,
GCF_000209795.2,NC_017196.2.region001.gbk,0,
GCF_000209795.2,NC_017196.2.region002.gbk,0,
GCF_000209795.2,NC_017196.2.region003.gbk,0,
GCF_000209795.2,NC_017196.2.region004.gbk,1,BSNT_RS22310
GCF_000209795.2,NC_017196.2.region005.gbk,1,BSNT_RS16375
GCF_000209795.2,NC_017196.2.region006.gbk,0,
GCF_000209795.2,NC_017196.2.region007.gbk,0,
GCF_000209795.2,NC_017196.2.region008.gbk,0,
GCF_000221645.1,NC_017191.1.region001.gbk,0,
GCF_000221645.1,NC_017191.1.region002.gbk,0,
GCF_000221645.1,NC_017191.1.region003.gbk,0,
GCF_000221645.1,NC_017191.1.region004.gbk,0,
GCF_000221645.1,NC_017191.1.region005.gbk,1,BAXH7_RS20650
GCF_000221645.1,NC_017191.1.region006.gbk,0,
GCF_000221645.1,NC_017191.1.region007.gbk,0,
GCF_000221645.1,NC_017191.1.region008.gbk,0,
GCF_000221645.1,NC_017191.1.region009.gbk,1,"BAXH7_RS15385,BAXH7_RS15380"
