dataname,syn_group,html_path,region_name,syn_type,Most similar known cluster,Similarity
GCF_000767685.1_NZ_CP009622.1.region003,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_000767685.1\index.html,#r1c3,NI-siderophore,0,0.0
GCF_000968945.1_NZ_CP011095.1.region003,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_000968945.1\index.html,#r1c3,NI-siderophore,0,0.0
GCF_000499805.2_NZ_CP011913.1.region003,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_000499805.2\index.html,#r1c3,NI-siderophore,0,0.0
GCF_000767645.1_NZ_CP009583.1.region003,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_000767645.1\index.html,#r1c3,NI-siderophore,0,0.0
GCF_040931595.1_NZ_CP162386.1.region007,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_040931595.1\index.html,#r1c7,NI-siderophore,0,0.0
GCF_900187135.1_NZ_LT906443.1.region001,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_900187135.1\index.html,#r1c1,NI-siderophore,0,0.0
GCF_900475775.1_NZ_LS483416.1.region001,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_900475775.1\index.html,#r1c1,NI-siderophore,0,0.0
GCF_900475635.1_NZ_LS483400.1.region002,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_900475635.1\index.html,#r1c2,NI-siderophore,0,0.0
GCF_900475605.1_NZ_LS483402.1.region006,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_900475605.1\index.html,#r1c6,NI-siderophore,0,0.0
GCF_042852175.1_NZ_AP031608.1.region003,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_042852175.1\index.html,#r1c3,NI-siderophore,0,0.0
GCF_000215665.1_NC_015683.1.region003,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_000215665.1\index.html,#r1c3,NI-siderophore,0,0.0
GCF_000769635.1_NZ_CP009716.1.region003,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_000769635.1\index.html,#r1c3,NI-siderophore,0,0.0
GCF_014792805.1_NZ_CP054583.1.region005,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_014792805.1\index.html,#r1c5,NI-siderophore,0,0.0
GCF_009002285.1_NZ_AP019663.1.region003,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_009002285.1\index.html,#r1c3,NI-siderophore,0,0.0
GCF_009789155.1_NZ_CP046863.1.region004,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_009789155.1\index.html,#r1c4,NI-siderophore,0,0.0
GCF_008995395.1_NZ_AP019662.1.region002,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_008995395.1\index.html,#r1c2,NI-siderophore,0,0.0
GCF_000306825.1_NC_018101.1.region002,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_000306825.1\index.html,#r1c2,NI-siderophore,0,0.0
GCF_000215645.1_NC_017317.1.region003,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_000215645.1\index.html,#r1c3,NI-siderophore,0,0.0
GCF_016727365.1_NZ_CP068134.1.region007,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_016727365.1\index.html,#r1c7,NI-siderophore,0,0.0
GCF_001281445.1_NZ_CP010818.1.region003,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_001281445.1\index.html,#r1c3,NI-siderophore,0,0.0
GCF_000767415.1_NZ_CP009500.1.region003,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_000767415.1\index.html,#r1c3,NI-siderophore,0,0.0
GCF_042854735.1_NZ_AP031563.1.region003,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_042854735.1\index.html,#r1c3,NI-siderophore,0,0.0
GCF_042851155.1_NZ_AP031609.1.region003,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_042851155.1\index.html,#r1c3,NI-siderophore,0,0.0
GCF_024971975.1_NZ_CP080459.1.region002,1,\\192.168.1.106\Pdisk7\yll\Corynebacterium\antismash_results\GCF_024971975.1\index.html,#r1c2,NI-siderophore,0,0.0
