Subfolder,File,Subset,Locus.id
GCF_000009765.2,NC_003155.5.region001.gbk,0,
GCF_000009765.2,NC_003155.5.region002.gbk,0,
GCF_000009765.2,NC_003155.5.region003.gbk,0,
GCF_000009765.2,NC_003155.5.region004.gbk,0,
GCF_000009765.2,NC_003155.5.region005.gbk,0,
GCF_000009765.2,NC_003155.5.region006.gbk,0,
GCF_000009765.2,NC_003155.5.region007.gbk,0,
GCF_000009765.2,NC_003155.5.region008.gbk,0,
GCF_000009765.2,NC_003155.5.region009.gbk,0,
GCF_000009765.2,NC_003155.5.region010.gbk,0,
GCF_000009765.2,NC_003155.5.region011.gbk,0,
GCF_000009765.2,NC_003155.5.region012.gbk,0,
GCF_000009765.2,NC_003155.5.region013.gbk,0,
GCF_000009765.2,NC_003155.5.region014.gbk,0,
GCF_000009765.2,NC_003155.5.region015.gbk,0,
GCF_000009765.2,NC_003155.5.region016.gbk,0,
GCF_000009765.2,NC_003155.5.region017.gbk,0,
GCF_000009765.2,NC_003155.5.region018.gbk,0,
GCF_000009765.2,NC_003155.5.region019.gbk,0,
GCF_000009765.2,NC_003155.5.region020.gbk,0,
GCF_000009765.2,NC_003155.5.region021.gbk,0,
GCF_000009765.2,NC_003155.5.region022.gbk,0,
GCF_000009765.2,NC_003155.5.region023.gbk,1,SAVERM_RS18095
GCF_000009765.2,NC_003155.5.region024.gbk,0,
GCF_000009765.2,NC_003155.5.region025.gbk,0,
GCF_000009765.2,NC_003155.5.region026.gbk,1,SAVERM_RS27215
GCF_000009765.2,NC_003155.5.region027.gbk,0,
GCF_000009765.2,NC_003155.5.region028.gbk,1,"SAVERM_RS28990,SAVERM_RS28995"
GCF_000009765.2,NC_003155.5.region029.gbk,0,
GCF_000009765.2,NC_003155.5.region030.gbk,0,
GCF_000009765.2,NC_003155.5.region031.gbk,0,
GCF_000009765.2,NC_003155.5.region032.gbk,0,
GCF_000009765.2,NC_003155.5.region033.gbk,0,
GCF_000009765.2,NC_003155.5.region034.gbk,1,SAVERM_RS37580
GCF_000009765.2,NC_003155.5.region035.gbk,0,
GCF_000009765.2,NC_003155.5.region036.gbk,0,
GCF_000010605.1,NC_010572.1.region001.gbk,0,
GCF_000010605.1,NC_010572.1.region002.gbk,0,
GCF_000010605.1,NC_010572.1.region003.gbk,0,
GCF_000010605.1,NC_010572.1.region004.gbk,1,"SGR_RS02095,SGR_RS02140,SGR_RS02145,SGR_RS02100,SGR_RS02125"
GCF_000010605.1,NC_010572.1.region005.gbk,0,
GCF_000010605.1,NC_010572.1.region006.gbk,0,
GCF_000010605.1,NC_010572.1.region007.gbk,0,
GCF_000010605.1,NC_010572.1.region008.gbk,0,
GCF_000010605.1,NC_010572.1.region009.gbk,0,
GCF_000010605.1,NC_010572.1.region010.gbk,0,
GCF_000010605.1,NC_010572.1.region011.gbk,0,
GCF_000010605.1,NC_010572.1.region012.gbk,0,
GCF_000010605.1,NC_010572.1.region013.gbk,0,
GCF_000010605.1,NC_010572.1.region014.gbk,0,
GCF_000010605.1,NC_010572.1.region015.gbk,0,
GCF_000010605.1,NC_010572.1.region016.gbk,0,
GCF_000010605.1,NC_010572.1.region017.gbk,0,
GCF_000010605.1,NC_010572.1.region018.gbk,1,"SGR_RS12220,SGR_RS12215"
GCF_000010605.1,NC_010572.1.region019.gbk,0,
GCF_000010605.1,NC_010572.1.region020.gbk,0,
GCF_000010605.1,NC_010572.1.region021.gbk,0,
GCF_000010605.1,NC_010572.1.region022.gbk,0,
GCF_000010605.1,NC_010572.1.region023.gbk,0,
GCF_000010605.1,NC_010572.1.region024.gbk,0,
GCF_000010605.1,NC_010572.1.region025.gbk,1,"SGR_RS23650,SGR_RS23655"
GCF_000010605.1,NC_010572.1.region026.gbk,0,
GCF_000010605.1,NC_010572.1.region027.gbk,1,SGR_RS26350
GCF_000010605.1,NC_010572.1.region028.gbk,0,
GCF_000010605.1,NC_010572.1.region029.gbk,0,
GCF_000010605.1,NC_010572.1.region030.gbk,0,
GCF_000010605.1,NC_010572.1.region031.gbk,0,
GCF_000010605.1,NC_010572.1.region032.gbk,0,
GCF_000010605.1,NC_010572.1.region033.gbk,1,SGR_RS33065
GCF_000010605.1,NC_010572.1.region034.gbk,1,"SGR_RS33635,SGR_RS33530,SGR_RS33510,SGR_RS33670,SGR_RS33660,SGR_RS33525,SGR_RS33630,SGR_RS33505,SGR_RS33665,SGR_RS33550,SGR_RS33655"
GCF_000010605.1,NC_010572.1.region035.gbk,0,
GCF_000010605.1,NC_010572.1.region036.gbk,0,
GCF_000010605.1,NC_010572.1.region037.gbk,0,
GCF_000091305.1,NC_013929.1.region001.gbk,0,
GCF_000091305.1,NC_013929.1.region002.gbk,0,
GCF_000091305.1,NC_013929.1.region003.gbk,0,
GCF_000091305.1,NC_013929.1.region004.gbk,0,
GCF_000091305.1,NC_013929.1.region005.gbk,0,
GCF_000091305.1,NC_013929.1.region006.gbk,1,"SCAB_RS02435,SCAB_RS02430"
GCF_000091305.1,NC_013929.1.region007.gbk,0,
GCF_000091305.1,NC_013929.1.region008.gbk,0,
