"dataname","syn_group","html_path","region_name","syn_type","Most.similar.known.cluster","Similarity","Genus","strain_name","combined"
"GCF_037993025.1_NZ_CP141223.1.region027",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037993025.1\index.html","#r1c27","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_037993025.1","GCF_037993025.1_NZ_CP141223.1.region027_#r1c27"
"GCF_024297125.1_NZ_CP101140.1.region024",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\index.html","#r1c24","NRP-metallophore,NRPS,melanin","coelichelin",0.81,"Streptomyces","GCF_024297125.1","GCF_024297125.1_NZ_CP101140.1.region024_#r1c24"
"GCF_009296025.1_NZ_CP045178.1.region026",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\index.html","#r1c26","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_009296025.1","GCF_009296025.1_NZ_CP045178.1.region026_#r1c26"
"GCF_001650215.1_NZ_CP015726.1.region038",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001650215.1\index.html","#r1c38","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_001650215.1","GCF_001650215.1_NZ_CP015726.1.region038_#r1c38"
"GCF_036346615.1_NZ_CP107836.1.region004",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036346615.1\index.html","#r1c4","NRP-metallophore,NRPS,betalactone","coelichelin",1,"Streptomyces","GCF_036346615.1","GCF_036346615.1_NZ_CP107836.1.region004_#r1c4"
"GCF_031844705.1_NZ_CP134609.1.region016",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\index.html","#r1c16","NRP-metallophore,NRPS,betalactone,T3PKS","coelichelin",1,"Streptomyces","GCF_031844705.1","GCF_031844705.1_NZ_CP134609.1.region016_#r1c16"
"GCF_045207435.1_NZ_CP108800.1.region004",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045207435.1\index.html","#r1c4","T3PKS,betalactone,NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_045207435.1","GCF_045207435.1_NZ_CP108800.1.region004_#r1c4"
"GCF_001654495.1_NZ_CP015849.1.region025",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001654495.1\index.html","#r1c25","RiPP-like,NRPS,terpene,NRP-metallophore","coelichelin",1,"Streptomyces","GCF_001654495.1","GCF_001654495.1_NZ_CP015849.1.region025_#r1c25"
"GCF_036226885.1_NZ_CP109027.1.region005",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226885.1\index.html","#r1c5","NRP-metallophore,NRPS,NRPS-like,T1PKS","coelichelin",1,"Streptomyces","GCF_036226885.1","GCF_036226885.1_NZ_CP109027.1.region005_#r1c5"
"GCF_045041065.1_NZ_CP108293.1.region007",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041065.1\index.html","#r1c7","NRP-metallophore,NRPS,T1PKS,NRPS-like","coelichelin",1,"Streptomyces","GCF_045041065.1","GCF_045041065.1_NZ_CP108293.1.region007_#r1c7"
