"","dataname","syn_group","html_path","region_name","syn_type","Most.similar.known.cluster","Similarity","Genus","filename","path","gbk_address"
"1","GCF_037201975.1_NZ_CP147520.1.region014",1,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037201975.1\index.html","#r1c14","NI-siderophore","0",0,"Streptomyces","NZ_CP147520.1.region014.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037201975.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037201975.1\NZ_CP147520.1.region014.gbk"
"2","GCF_016598575.1_NZ_CP066801.1.region011",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_016598575.1\index.html","#r1c11","NI-siderophore","0",0,"Streptomyces","NZ_CP066801.1.region011.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_016598575.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_016598575.1\NZ_CP066801.1.region011.gbk"
"3","GCF_041519305.1_NZ_CP167927.1.region026",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041519305.1\index.html","#r1c26","NI-siderophore","0",0,"Streptomyces","NZ_CP167927.1.region026.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041519305.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041519305.1\NZ_CP167927.1.region026.gbk"
"4","GCF_017916255.1_NZ_CP072827.1.region020",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_017916255.1\index.html","#r1c20","NI-siderophore","0",0,"Streptomyces","NZ_CP072827.1.region020.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_017916255.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_017916255.1\NZ_CP072827.1.region020.gbk"
"5","GCF_022220465.1_NZ_CP092051.1.region016",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022220465.1\index.html","#r1c16","NI-siderophore","0",0,"Streptomyces","NZ_CP092051.1.region016.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022220465.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022220465.1\NZ_CP092051.1.region016.gbk"
"6","GCF_022759525.1_NZ_CP094262.1.region016",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022759525.1\index.html","#r1c16","NI-siderophore","0",0,"Streptomyces","NZ_CP094262.1.region016.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022759525.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022759525.1\NZ_CP094262.1.region016.gbk"
"7","GCF_020099395.1_NZ_CP083590.1.region016",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020099395.1\index.html","#r1c16","NI-siderophore","0",0,"Streptomyces","NZ_CP083590.1.region016.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020099395.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020099395.1\NZ_CP083590.1.region016.gbk"
"8","GCF_033547115.1_NZ_CP137895.1.region017",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033547115.1\index.html","#r1c17","NI-siderophore","0",0,"Streptomyces","NZ_CP137895.1.region017.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033547115.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033547115.1\NZ_CP137895.1.region017.gbk"
"9","GCF_030122705.1_NZ_CP126066.1.region020",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_030122705.1\index.html","#r1c20","NI-siderophore","0",0,"Streptomyces","NZ_CP126066.1.region020.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_030122705.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_030122705.1\NZ_CP126066.1.region020.gbk"
"10","GCF_002591335.1_NZ_CP023992.1.region026",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002591335.1\index.html","#r1c26","NI-siderophore","0",0,"Streptomyces","NZ_CP023992.1.region026.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002591335.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002591335.1\NZ_CP023992.1.region026.gbk"
