dataname,syn_group,html_path,region_name,syn_type,Most similar known cluster,Similarity
GCF_037201975.1_NZ_CP147520.1.region014,1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037201975.1\index.html,#r1c14,NI-siderophore,0,0
GCF_016598575.1_NZ_CP066801.1.region011,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_016598575.1\index.html,#r1c11,NI-siderophore,0,0
GCF_041519305.1_NZ_CP167927.1.region026,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041519305.1\index.html,#r1c26,NI-siderophore,0,0
GCF_017916255.1_NZ_CP072827.1.region020,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_017916255.1\index.html,#r1c20,NI-siderophore,0,0
GCF_022220465.1_NZ_CP092051.1.region016,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022220465.1\index.html,#r1c16,NI-siderophore,0,0
GCF_022759525.1_NZ_CP094262.1.region016,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022759525.1\index.html,#r1c16,NI-siderophore,0,0
GCF_020099395.1_NZ_CP083590.1.region016,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020099395.1\index.html,#r1c16,NI-siderophore,0,0
GCF_033547115.1_NZ_CP137895.1.region017,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033547115.1\index.html,#r1c17,NI-siderophore,0,0
GCF_030122705.1_NZ_CP126066.1.region020,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_030122705.1\index.html,#r1c20,NI-siderophore,0,0
GCF_002591335.1_NZ_CP023992.1.region026,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002591335.1\index.html,#r1c26,NI-siderophore,0,0
GCF_002812405.1_NZ_CP025018.1.region020,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002812405.1\index.html,#r1c20,NI-siderophore,0,0
GCF_021233395.1_NZ_CP089536.1.region029,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021233395.1\index.html,#r1c29,NI-siderophore,0,0
GCF_015689475.1_NZ_CP065050.1.region028,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_015689475.1\index.html,#r1c28,NI-siderophore,0,0
GCF_013414305.1_NZ_CP058693.1.region025,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_013414305.1\index.html,#r1c25,NI-siderophore,0,0
GCF_003945525.1_NZ_CP029601.1.region008,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003945525.1\index.html,#r1c8,NI-siderophore,0,0
GCF_041052385.1_NZ_CP163439.1.region026,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041052385.1\index.html,#r1c26,NI-siderophore,0,0
GCF_045041015.1_NZ_CP108302.1.region017,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041015.1\index.html,#r1c17,NI-siderophore,0,0
GCF_028473745.1_NZ_CP101137.1.region013,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_028473745.1\index.html,#r1c13,NI-siderophore,0,0
GCF_033216215.1_NZ_CP137524.1.region008,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033216215.1\index.html,#r1c8,NI-siderophore,0,0
GCF_045206315.1_NZ_CP108128.1.region013,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206315.1\index.html,#r1c13,NI-siderophore,0,0
GCF_035983575.1_NZ_CP108435.1.region019,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035983575.1\index.html,#r1c19,NI-siderophore,0,0
GCF_036231965.1_NZ_CP109499.1.region017,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036231965.1\index.html,#r1c17,NI-siderophore,0,0
GCF_025643355.1_NZ_CP092644.1.region012,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_025643355.1\index.html,#r1c12,NI-siderophore,0,0
GCF_003675345.1_NZ_CP033071.1.region013,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003675345.1\index.html,#r1c13,NI-siderophore,0,0
GCF_001753425.1_NZ_CP016825.1.region013,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001753425.1\index.html,#r1c13,NI-siderophore,0,0
GCF_000827005.1_NZ_CP010519.1.region013,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_000827005.1\index.html,#r1c13,NI-siderophore,0,0
GCF_046267975.1_NZ_CP176503.1.region014,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_046267975.1\index.html,#r1c14,NI-siderophore,0,0
GCF_036227225.1_NZ_CP109444.1.region020,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036227225.1\index.html,#r1c20,NI-siderophore,0,0
