dataname,syn_group,html_path,region_name,syn_type,Most similar known cluster,Similarity
GCF_032393075.1_NZ_CP135915.1.region012,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_032393075.1\index.html,#r1c12,"NRP-metallophore,NRPS",madurastatin A2/madurastatin E1/madurastatin F/madurastatin G1/madurastatin A1,0.11
GCF_001620025.1_NZ_CP015219.1.region010,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_001620025.1\index.html,#r1c10,"NRP-metallophore,NRPS",madurastatin A2/madurastatin E1/madurastatin F/madurastatin G1/madurastatin A1,0.11
GCF_036173065.1_NZ_CP108041.1.region004,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_036173065.1\index.html,#r1c4,"NRP-metallophore,NRPS",erythrochelin,0.42
GCF_036163995.1_NZ_CP108043.1.region002,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_036163995.1\index.html,#r1c2,"NRP-metallophore,NRPS",erythrochelin,0.42
GCF_040024445.1_NZ_CP157276.1.region004,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_040024445.1\index.html,#r1c4,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_000196695.1_NC_014659.1.region003,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000196695.1\index.html,#r1c3,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_002094405.3_NZ_CP095477.1.region006,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_002094405.3\index.html,#r1c6,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_019704075.1_NZ_AP024198.1.region004,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_019704075.1\index.html,#r1c4,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_019704055.1_NZ_AP024196.1.region003,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_019704055.1\index.html,#r1c3,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_019704015.1_NZ_AP024192.1.region003,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_019704015.1\index.html,#r1c3,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_019703975.1_NZ_AP024187.1.region003,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_019703975.1\index.html,#r1c3,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_019703995.1_NZ_AP024189.1.region004,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_019703995.1\index.html,#r1c4,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_019703915.1_NZ_AP024181.1.region004,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_019703915.1\index.html,#r1c4,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_022691665.1_NZ_CP093554.1.region003,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_022691665.1\index.html,#r1c3,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_022179365.1_NZ_AP025544.1.region003,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_022179365.1\index.html,#r1c3,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_022691685.1_NZ_CP093553.1.region003,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_022691685.1\index.html,#r1c3,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_021654675.1_NZ_AP025268.1.region003,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_021654675.1\index.html,#r1c3,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_016025875.1_NZ_CP065594.1.region008,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_016025875.1\index.html,#r1c8,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_003013675.1_NZ_CP027793.1.region003,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_003013675.1\index.html,#r1c3,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_007197835.1_NZ_CP041647.1.region015,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_007197835.1\index.html,#r1c15,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_044865165.1_NZ_CP173203.1.region014,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_044865165.1\index.html,#r1c14,"NRP-metallophore,NRPS",thermochelin,0.38
GCF_030324145.1_NZ_CP121763.1.region015,1,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_030324145.1\index.html,#r1c15,"NRP-metallophore,NRPS",thermochelin,0.38
